rating,songName,artistName,genre
1,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']","['nc hip hop', 'rap', 'melodic rap', 'rap']"
2,Blinding Lights,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']"
3,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']","['melodic rap', 'pop rap', 'rap', 'trap']"
4,Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']","['dance pop', 'pop', 'dance pop', 'pop', 'post-teen pop']"
5,death bed (coffee for your head) (feat. beabadoobee),"['Powfu', 'beabadoobee']","['bedroom pop', 'indie pop']"
6,Toosie Slide,['Drake'],"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
7,Watermelon Sugar,['Harry Styles'],"['pop', 'post-teen pop']"
8,Dance Monkey,['Tones And I'],['australian pop']
9,Don't Start Now,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']"
10,Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']","['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
11,ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",[]
12,Party Girl,['StaySolidRocky'],[]
13,Break My Heart,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']"
14,Breaking Me,"['Topic', 'A7S']","['german dance', 'pop edm', 'tropical house']"
15,Blueberry Faygo,['Lil Mosey'],"['melodic rap', 'rap conscient', 'trap', 'vapor trap']"
16,Supalonely,"['BENEE', 'Gus Dapperton']","['nz pop', 'pop', 'bedroom pop', 'indie pop', 'indie poptimism']"
17,The Box,['Roddy Ricch'],"['melodic rap', 'rap']"
18,MAMACITA,"['Black Eyed Peas', 'Ozuna', 'J. Rey Soul']","['dance pop', 'pop', 'pop rap', 'latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
19,Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']","['dance pop', 'pop', 'post-teen pop', 'canadian pop', 'pop', 'post-teen pop']"
20,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']","['rap', 'hip hop', 'pop rap', 'rap']"
21,GOOBA,['6ix9ine'],['emo rap']
22,Intentions (feat. Quavo),"['Justin Bieber', 'Quavo']","['canadian pop', 'pop', 'post-teen pop', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
23,Someone You Loved,['Lewis Capaldi'],"['pop', 'uk pop']"
24,Sunday Best,['Surfaces'],"['bedroom soul', 'pop']"
25,Savage Remix (feat. Beyoncé),"['Megan Thee Stallion', 'Beyoncé']","['houston rap', 'pop', 'pop rap', 'trap queen', 'dance pop', 'pop', 'r&b']"
26,Tusa,"['KAROL G', 'Nicki Minaj']","['latin', 'reggaeton', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
27,Falling,['Trevor Daniel'],"['alternative r&b', 'melodic rap', 'pop rap']"
28,Say So,['Doja Cat'],"['la indie', 'pop']"
29,La Jeepeta - Remix,"['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']","['latin', 'reggaeton', 'reggaeton flow', 'tropical', 'latin', 'reggaeton flow', 'trap latino', 'latin', 'trap latino', 'perreo', 'reggaeton flow', 'perreo', 'reggaeton', 'reggaeton flow']"
30,In Your Eyes,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']"
31,Relación,['Sech'],"['latin', 'panamanian pop', 'reggaeton']"
32,Circles,['Post Malone'],"['dfw rap', 'melodic rap', 'rap']"
33,Yo Perreo Sola,['Bad Bunny'],"['latin', 'reggaeton', 'trap latino']"
34,Hasta Que Dios Diga,"['Anuel AA', 'Bad Bunny']","['latin', 'reggaeton flow', 'trap latino', 'latin', 'reggaeton', 'trap latino']"
35,WHATS POPPIN,['Jack Harlow'],"['deep underground hip hop', 'pop rap', 'rap', 'trap']"
36,goosebumps,['Travis Scott'],['rap']
37,TKN (feat. Travis Scott),"['ROSALÍA', 'Travis Scott']","['r&b en espanol', 'rap']"
38,Before You Go,['Lewis Capaldi'],"['pop', 'uk pop']"
39,Safaera,"['Bad Bunny', 'Jowell & Randy', 'Nengo Flow']","['latin', 'reggaeton', 'trap latino', 'latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'tropical', 'latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
40,Play Date,['Melanie Martinez'],['pop']
41,Lose Somebody,"['Kygo', 'OneRepublic']","['edm', 'pop', 'tropical house', 'dance pop', 'piano rock', 'pop', 'pop rock']"
42,TROLLZ (with Nicki Minaj),"['6ix9ine', 'Nicki Minaj']","['emo rap', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
43,Be Kind (with Halsey),"['Marshmello', 'Halsey']","['brostep', 'pop', 'progressive electro house', 'dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']"
44,Adore You,['Harry Styles'],"['pop', 'post-teen pop']"
45,Kings & Queens,['Ava Max'],"['dance pop', 'pop', 'post-teen pop']"
46,Memories,['Maroon 5'],"['pop', 'pop rock']"
47,ROXANNE,['Arizona Zervas'],['pop rap']
48,HIGHEST IN THE ROOM,['Travis Scott'],['rap']
49,Señorita,"['Shawn Mendes', 'Camila Cabello']","['canadian pop', 'pop', 'post-teen pop', 'viral pop', 'dance pop', 'pop', 'post-teen pop']"
50,Life Is Good (feat. Drake),"['Future', 'Drake']","['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
51,SICKO MODE,['Travis Scott'],['rap']
52,BLACK PARADE,['Beyoncé'],"['dance pop', 'pop', 'r&b']"
53,bad guy,['Billie Eilish'],"['electropop', 'pop']"
54,Rojo,['J Balvin'],"['latin', 'reggaeton']"
55,Elegí (feat. Dímelo Flow),"['Rauw Alejandro', 'Dalex', 'Lenny Tavárez', 'Dímelo Flow']","['latin', 'latin', 'r&b en espanol', 'latin', 'trap argentino', 'latin', 'reggaeton', 'trap latino']"
56,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']","['dfw rap', 'melodic rap', 'rap', 'trap']"
57,Sour Candy (with BLACKPINK),"['Lady Gaga', 'BLACKPINK']","['dance pop', 'pop', 'k-pop', 'k-pop girl group']"
58,PORFA,"['Feid', 'Justin Quiles']","['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'latin', 'reggaeton']"
59,Stay Gold,['BTS'],"['k-pop', 'k-pop boy group']"
60,After Party,['Don Toliver'],"['rap', 'trap']"
61,Ride It,['Regard'],['pop edm']
62,Favorito,['Camilo'],"['colombian pop', 'latin']"
63,Boss Bitch,['Doja Cat'],"['la indie', 'pop']"
64,Tommy Lee (feat. Post Malone),"['Tyla Yaweh', 'Post Malone']","['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap', 'dfw rap', 'melodic rap', 'rap']"
65,Azul,['J Balvin'],"['latin', 'reggaeton']"
66,GO (feat. Juice WRLD),"['The Kid LAROI', 'Juice WRLD']","['australian hip hop', 'pop rap', 'rap', 'trap', 'vapor trap', 'chicago rap', 'melodic rap']"
67,Secrets,"['Regard', 'RAYE']","['pop edm', 'dance pop', 'house', 'pop', 'post-teen pop', 'tropical house', 'uk contemporary r&b', 'uk pop']"
68,Caramelo,['Ozuna'],"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
69,VACATION,['Tyga'],"['pop rap', 'rap', 'trap']"
70,The Bigger Picture,['Lil Baby'],"['atl hip hop', 'atl trap', 'rap']"
71,Chicago Freestyle (feat. Giveon),"['Drake', 'Giveon']","['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap', 'alternative r&b', 'indie r&b']"
72,Tak Tiki Tak,['Harry Nach'],"['reggaeton flow', 'trap chileno']"
73,Walk Em Down (feat. Roddy Ricch),"['NLE Choppa', 'Roddy Ricch']","['memphis hip hop', 'melodic rap', 'rap']"
74,everything i wanted,['Billie Eilish'],"['electropop', 'pop']"
75,Lucid Dreams,['Juice WRLD'],"['chicago rap', 'melodic rap']"
76,Big Body Benz,['Bonez MC'],"['german hip hop', 'hamburg hip hop']"
77,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']","['dance pop', 'pop', 'pop rap', 'latin', 'reggaeton']"
78,Physical,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']"
79,If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']","['canadian contemporary r&b', 'pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
80,Shallow,"['Lady Gaga', 'Bradley Cooper']","['dance pop', 'pop', 'hollywood']"
81,Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']","['detroit hip hop', 'hip hop', 'rap', 'chicago rap', 'melodic rap']"
82,lovely (with Khalid),"['Billie Eilish', 'Khalid']","['electropop', 'pop', 'alternative r&b', 'pop']"
83,Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']","['edm', 'pop house', 'dance pop', 'house', 'pop', 'pop house', 'tropical house', 'uk dance', 'uk pop', 'uk dance']"
84,Tattoo,['Rauw Alejandro'],['latin']
85,I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']","['pop', 'uk pop', 'canadian pop', 'pop', 'post-teen pop']"
86,Rover (feat. DTG),"['S1mba', 'DTG']","['afroswing', 'afroswing']"
87,hot girl bummer,['blackbear'],"['pop', 'pop rap']"
88,Amarillo,['J Balvin'],"['latin', 'reggaeton']"
89,CÓMO SE SIENTE - Remix,"['Jhay Cortez', 'Bad Bunny']","['latin', 'reggaeton', 'trap latino', 'latin', 'reggaeton', 'trap latino']"
90,Savage,['Megan Thee Stallion'],"['houston rap', 'pop', 'pop rap', 'trap queen']"
91,Skechers,['DripReport'],[]
92,Fútbol & Rumba (feat. Enrique Iglesias),"['Anuel AA', 'Enrique Iglesias']","['latin', 'reggaeton flow', 'trap latino', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']"
93,Some Say - Felix Jaehn Remix,"['Nea', 'Felix Jaehn']","['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'tropical house']"
94,Ich weiß nicht mal wie sie heißt,"['Capital Bra', 'Bozza']","['german hip hop', 'german hip hop', 'german underground rap']"
95,La Difícil,['Bad Bunny'],"['latin', 'reggaeton', 'trap latino']"
96,Morado,['J Balvin'],"['latin', 'reggaeton']"
97,Deep End Freestyle,"['Sleepy Hallow', 'Fousheé']",['nyc rap']
98,Bohemian Rhapsody - 2011 Mix,['Queen'],"['glam rock', 'rock']"
99,Believer,['Imagine Dragons'],"['modern rock', 'rock']"
100,Say So (feat. Nicki Minaj),"['Doja Cat', 'Nicki Minaj']","['la indie', 'pop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
